科学部,合计:项数,合计:金额,教育部:项数,教育部:金额,中国科学院:项数,中国科学院:金额,"工,交,农,医,国防等部门:项数","工,交,农,医,国防等部门:金额","各省,自治区,市(直):项数","各省,自治区,市(直):金额"
合计,400,52000.00,222,28860.00,75,9750.00,55,7150.00,48,6240.00
%,100.00%,100.00%,55.50%,55.50%,18.75%,18.75%,13.75%,13.75%,12.00%,12.00%
数理科学部,47,6110.00,22,2860.00,12,1560.00,5,650.00,8,1040.00
%,100%,100%,47%,47%,26%,26%,11%,11%,17%,17%
化学科学部,57,7410.00,39,5070.00,11,1430.00,2,260.00,5,650.00
%,100%,100%,68%,68%,19%,19%,4%,4%,9%,9%
生命科学部,58,7540.00,31,4030.00,12,1560.00,5,650.00,10,1300.00
%,100%,100%,53%,53%,21%,21%,9%,9%,17%,17%
地球科学部,40,5200.00,15,1950.00,17,2210.00,5,650.00,3,390.00
%,100%,100%,38%,38%,43%,43%,13%,13%,8%,8%
工程与材料科学部,74,9620.00,47,6110.00,10,1300.00,15,1950.00,2,260.00
%,100%,100%,64%,64%,14%,14%,20%,20%,3%,3%
信息科学部,60,7800.00,28,3640.00,8,1040.00,11,1430.00,13,1690.00
%,100%,100%,47%,47%,13%,13%,18%,18%,22%,22%
管理科学部,14,1820.00,11,1430.00,,0.00,3,390.00,0,0.00
%,100%,100%,79%,79%,0%,0%,21%,21%,0%,0%
医学科学部,50,6500.00,29,3770.00,5,650.00,9,1170.00,7,910.00
%,100%,100%,58%,58%,10%,10%,18%,18%,14%,14%
